"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"40000136","Carole Theobald","SCS2","Locality Director: Suffolk, Great Yarmouth and Waverney, Mid and North Essex","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000130","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Andrew Pike","1"
"40000137","Trish Thompson","SCS2","Locality Director: Central (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000147","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Elliot Howard-Jones","1"
"40000146","Alison Tonge","SCS2","Director of Commissioning Operations (Midlands and East - West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","601883","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Alastair McIntyre, Brian Hanford, David Williams and Jo-Anne Alner","1"
"40000143","Dr Paul Watson","SCS2","Regional Director (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000009","1195991","1.00","160000","164999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Alan McDermott, David Levy, Lynne Wigens, Rachel Hardy and Stephen Morrison","1"
"40000144","Dr Lynne Wigens","SCS2","Regional Chief Nurse (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","N/D","1.00","125000","129999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Paul Watson","1"
"40000145","David Williams","SCS2","Locality Director: Arden","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000146","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Alison Tonge","1"
"40000142","Simon Evans-Evans","SCS2","Locality Director: South and West Essex","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000130","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Andrew Pike","1"
"40000155","Daniel Hartley","SCS2","Acting Regional Director of People and Organisation Development (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","100000","104999","","Human Resources","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000156","Richard Barker","SCS2","Regional Director (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000009","1505261","1.00","160000","164999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Carol Stubley, Christine Keen, Daniel Hartley, Julia Hickling, Margaret Kitching, Mike Prentice and Tim Savage","1"
"40000157","Robert Bellingham","SCS2","Director of Commissioning (Lancashire and Greater Manchester)","The core role and purpose of the Finance Directorate is to provide a first class financial management service ensuring NHS England is well advised and provided with excellent financial services at all times and that NHS commissioning budgets are aligned with the NHS Five Year Forward View and ensuring the future sustainability and transformation of the NHS in England.  In addition, the Chief Financial Officer is the Head of Profession for Finance in the NHS in England.","Department of Health","NHS England","Finance","0300 311 22 33","england.contactus@nhs.net","40000274","0","1.00","110000","114999","","Operational Delivery","","1"
"40000158","Vacant","SCS2","Director of Nursing (Lancashire and Greater Manchester)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","N/A","england.contactus@nhs.net","40000189","0","1.00","N/A","N/A","","Medicine","Post became vacant on 1st August 2016","1"
"40000159","Dr David Black","SCS2","Medical Director (Yorkshire and Humber)","At a local level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","548100","0.60","95000","99999","","Medicine","David Black also works 0.4 WTE as Deputy Clinical Director: Specialised Commissioning","1"
"40000160","Frances Carey","SCS2","Regional Director of Finance, Specialised Commissioning (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000187","N/D","1.00","105000","109999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Robert Cornall","1"
"40000187","Robert Cornall","SCS2","Regional Director of Specialised Commissioning (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","951339","1.00","130000","134999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Frances Carey and Michael Gregory","1"
"40000161","Andrew Crawshaw","SCS2","Director of Delivery (Cheshire and Merseyside)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000163","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Clare Duggan","1"
"40000162","Ian Currell","SCS2","Director of Finance (Lancashire and Greater Manchester)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000189","0","1.00","115000","119999","","Finance","","1"
"40000163","Clare Duggan","SCS2","Director of Commissioning Operations (Cheshire and Merseyside)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","767245","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Andrew Crawshaw, Anthony Leo, Hazel Richards and Philip Wadeson","1"
"40000164","Moira Dumma","SCS2","Director of Commissioning Operations (Yorkshire and Humber)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","1125657","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Alison Knowles, Brian Hughes, Carole Lavelle, Jonathan Swift and Julie Warren","1"
"40000166","Julia Hickling","SCS2","Regional Director of Patients and Information (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","125000","129999","","Knowledge and Information Management (KIM)","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000167","Jane Higgs","SCS2","Director of Assurance and Delivery (Lancashire and Greater Manchester)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000189","N/D","1.00","110000","114999","","Internal Audit","The team is too small to detail. The salary cost of direct reports has been included under Graham Urwin","1"
"40000168","Brian Hughes","SCS2","Locality Director: West Yorkshire (Yorkshire and Humber)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Moira Dumma","1"
"40000169","Christine Keen","SCS2","Director of Commissioning (Cumbria and North East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000170","Margaret Kitching","SCS2","Regional Chief Nurse (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","125000","129999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000171","Alison Knowles","SCS2","Locality Director: South Yorkshire (Yorkshire and Humber)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Moira Dumma","1"
"40000172","Anthony Leo","SCS2","Director of Commissioning (Cheshire and Merseyside)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000163","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Clare Duggan","1"
"40000173","Hazel Richards","SCS2","Director of Nursing (Cheshire and Merseyside)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000163","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Clare Duggan","1"
"40000165","Dr Jonathan Slade","SCS2","Medical Director (Cumbria and North East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000181","N/D","0.80","105000","109999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Timothy Rideout","1"
"40000174","Dr Kieran Murphy","SCS2","Medical Director (Cheshire and Merseyside)","At local level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000163","554330","1.00","175000","179999","","Medicine","","1"
"40000176","Rajesh Patel","SCS2","Medical Director (Lancashire and Greater Manchester)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000189","0","0.80","100000","104999","","Medicine","","1"
"40000177","Jonathan Connolly","SCS2","Acting Director of Finance (Cumbria and North East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000181","N/D","1.00","115000","119999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Timothy Rideout","1"
"40000178","Dr Mike Prentice","SCS2","Regional Medical Director (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","140000","144999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000179","Beverley Reilly","SCS2","Director of Nursing (Cumbria and North East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000181","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Timothy Rideout","1"
"40000181","Timothy Rideout","SCS2","Director of Commissioning Operations (Cumbria and North East)","At a local, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model, across both NHS England and NHS Improvement.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","1195116","1.00","155000","159999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Alison Slater, Beverley Reilly, Jonathan Connolly and Jonathan Slade","1"
"40000262","Zena Robertson","SCS2","Acting Director of Nursing (Yorkshire and Humber)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","0","1.00","80000","84999","","Medicine","","1"
"40000182","Dr Michael Gregory","SCS2","Clinical Director, Specialised Commissioning  (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000187","N/D","1.00","135000","139999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Robert Cornall","1"
"40000183","Tim Savage","SCS2","Regional Director of Finance (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","130000","134999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000184","Alison Slater","SCS2","Director of Delivery (Cumbria and North East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000181","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Timothy Rideout","1"
"40000192","Carol Stubley","SCS2","Regional Director of Assurance and Delivery (North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","N/D","1.00","115000","119999","","Internal Audit","The team is too small to detail. The salary cost of direct reports has been included under Richard Barker","1"
"40000186","Jonathan Swift","SCS2","Director of Finance (Yorkshire and Humber)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","N/D","1.00","120000","124999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Moira Dumma","1"
"40000188","Dr Paul Twomey","SCS2","Medical Director and Revalidation Lead (Yorkshire and Humber)","At a local level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","0","0.60","150000","154999","","Medicine","Direct reports for Medical Director (Yorkshire and Humber) shown with David Black as post is shared.","1"
"40000189","Graham Urwin","SCS2","Director of Commissioning Operations (Lancashire and Greater Manchester)","At a local level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000156","860614","1.00","150000","154999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Jane Higgs","1"
"40000190","Philip Wadeson","SCS2","Director of Finance (Cheshire and Merseyside)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000163","N/D","1.00","120000","124999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Clare Duggan","1"
"40000191","Julie Warren","SCS2","Locality Director: North Yorkshire (Yorkshire and Humber)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","North Region","0300 311 22 33","england.contactus@nhs.net","40000164","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Moira Dumma","1"
"40000195","Dr Neil Churchill","SCS2","Director of Patient Experience","The core role and purpose of the Nursing Directorate is to drive quality improvement and better outcomes for patients by leading on Domains 4 and 5 of the NHS Outcomes Framework and providing clinical leadership support to Domains 1-3, thus embedding the principles of quality, patient safety and patient experience throughout NHS England.  In addition, the Directorate will provide national professional leadership for all nurses and midwives across the NHS England.","Department of Health","NHS England","Nursing","0300 311 22 33","england.contactus@nhs.net","40000197","N/D","1.00","130000","134999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Jane Cummings","1"
"40000197","Professor Jane Cummings","SCS3","Chief Nursing Officer","The core role and purpose of the Chief Nursing Officer / Nursing Directorate is to drive quality improvement and better outcomes for patients by leading on Domains 4 and 5 of the NHS Outcomes Framework and providing clinical leadership support to Domains 1-3, thus embedding the principles of quality, patient safety and patient experience throughout NHS England.  In addition, the Directorate will provide national professional leadership for all nurses and midwives across the NHS England.","Department of Health","NHS England","Nursing","0300 311 22 33","england.contactus@nhs.net","40000002","633759","1.00","165000","169999","","Medicine","Salary cost of direct reports also includes cost of direct reports from Julie Higgins and Neil Churchill","1"
"40000199","Hilary Garratt","SCS2","Director of Nursing and Deputy Chief Nursing Officer","The core role and purpose of the Nursing Directorate is to drive quality improvement and better outcomes for patients by leading on Domains 4 and 5 of the NHS Outcomes Framework and providing clinical leadership support to Domains 1-3, thus embedding the principles of quality, patient safety and patient experience throughout NHS England.  In addition, the Directorate will provide national professional leadership for all nurses and midwives across the NHS England.","Department of Health","NHS England","Nursing","0300 311 22 33","england.contactus@nhs.net","40000197","686560","1.00","125000","129999","","Medicine","Salary cost of direct reports also includes cost of direct reports from Susan Aitkenhead","1"
"40000200","Dr Julie Higgins","SCS2","Director of Transformation - Learning Disabilities","The core role and purpose of the Nursing Directorate is to drive quality improvement and better outcomes for patients by leading on Domains 4 and 5 of the NHS Outcomes Framework and providing clinical leadership support to Domains 1-3, thus embedding the principles of quality, patient safety and patient experience throughout NHS England.  In addition, the Directorate will provide national professional leadership for all nurses and midwives across the NHS England.","Department of Health","NHS England","Nursing","0300 311 22 33","england.contactus@nhs.net","40000197","N/D","1.00","130000","134999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Jane Cummings","1"
"40000207","Anu Singh","SCS2","Director of Patient and Public Participation and Insight","The core role and purpose of the Nursing Directorate is to drive quality improvement and better outcomes for patients by leading on Domains 4 and 5 of the NHS Outcomes Framework and providing clinical leadership support to Domains 1-3, thus embedding the principles of quality, patient safety and patient experience throughout NHS England.  In addition, the Directorate will provide national professional leadership for all nurses and midwives across the NHS England.","Department of Health","NHS England","Nursing","0300 311 22 33","england.contactus@nhs.net","40000197","908893","1.00","110000","114999","","Medicine","","1"
"40000295","Vacant","SCS2","Director of Nursing: Improvement and Transformation","The core role and purpose of the Nursing Directorate is to drive quality improvement and better outcomes for patients by leading on Domains 4 and 5 of the NHS Outcomes Framework and providing clinical leadership support to Domains 1-3, thus embedding the principles of quality, patient safety and patient experience throughout NHS England.  In addition, the Directorate will provide national professional leadership for all nurses and midwives across the NHS England.","Department of Health","NHS England","Nursing","N/A","england.contactus@nhs.net","40000199","0","1.00","N/A","N/A","","Medicine","New post to structure. Appointment not yet made.","1"
"40000208","Dr Nigel Acheson","SCS2","Regional Medical Director (South)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","N/D","1.00","170000","174999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Ridley","1"
"40000209","Sally Allum","SCS2","Director of Nursing (South East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000213","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Felicity Cox","1"
"40000210","Julia Bagshaw","SCS2","Acting Director of Commissioning (Wessex)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000225","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Dominic Hardy","1"
"40000211","Mark Cooke","SCS2","Director of Commissioning Operations (South West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","982796","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Amanda Fisk, David Cryer, Dianne Conduit and Linda Prosser","1"
"40000212","Bennett Low","SCS2","Acting Director of Operations and Delivery (Wessex)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000225","N/D","1.00","100000","104999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Dominic Hardy","1"
"40000213","Felicity Cox","SCS2","Director of Commissioning Operations (South East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","1035272","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Ivor Duffy, Paul Hyde, Pennie Ford Agarwal, Sally Allum and Sarah Macdonald","1"
"40000230","David Cryer","SCS2","Director of Finance (South West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000211","N/D","1.00","115000","119999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Mark Cooke","1"
"40000215","Gary Heneage","SCS2","Acting Director of Finance (South Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000238","N/D","1.00","110000","114999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Rachel Pearce","1"
"40000234","Ivor Duffy","SCS2","Director of Operations and Delivery (South East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000213","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Felicity Cox","1"
"40000216","Debra Elliott","SCS2","Director of Commissioning (South Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000238","N/D","1.00","115000","119999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Rachel Pearce","1"
"40000217","Susan Doheny","SCS2","Regional Chief Nurse (South)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","452233","1.00","125000","129999","","Medicine","","1"
"40000236","Amanda Fisk","SCS2","Acting Director of Operations and Assurance (South West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000211","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Mark Cooke","1"
"40000219","Penelope Ford Agarwal","SCS2","Director of Operations and Delivery (South East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000213","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Felicity Cox","1"
"40000220","Janis Fowler","SCS2","Director of Nursing (South Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000238","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Rachel Pearce","1"
"40000243","Cathy Francis","SCS2","Regional Director of Patients and Information (South)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","N/D","1.00","100000","104999","","Knowledge and Information Management (KIM)","The team is too small to detail. The salary cost of direct reports has been included under Andrew Ridley","1"
"40000221","Dr Caroline Gamlin","SCS2","Medical Director (South West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000211","434479","1.00","145000","149999","","Medicine","","1"
"40000222","Esther Giles","SCS2","Regional Director of Finance, Specialised Commissioning (South)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000223","439805","1.00","120000","124999","","Finance","","1"
"40000224","Steve Gooch","SCS2","Director of Finance (Wessex)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000225","N/D","1.00","115000","119999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Dominic Hardy","1"
"40000225","Dominic Hardy","SCS2","Director of Commissioning Operations (Wessex)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","1294349","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Bennett Low, Elizabeth Mearns, Julia Bagshaw, Ruth Williams and Steve Gooch","1"
"40000227","Jennifer Howells","SCS2","Regional Director of Finance (South)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000240","N/D","1.00","130000","134999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Andrew Ridley","1"
"40000228","Paul Hyde","SCS2","Director of Finance (South East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000213","N/D","1.00","115000","119999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Felicity Cox","1"
"40000231","Dr Vaughan Lewis","SCS2","Clinical Director, Specialised Commissioning (South)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000223","429530","1.00","150000","154999","","Medicine","","1"
"40000232","Nicola Luffingham","SCS2","Director of Operations and Delivery (South Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","South Region","0300 311 22 33","england.contactus@nhs.net","40000238","N/D","1.00","125000","129999","","Operational Delivery","Nicola Luffingham is seconded into NHS England from Brighton and Sussex University Hospitals NHS Trust. The team is too small to detail. The salary cost of direct reports has been included under Rachel Pearce","1"
